gene_id,normal1,normal2,tumour1,tumour2
ENSG00000282222,0,0,0,0
ENSG00000282221,0,0,0,0
ENSG00000212040,0,0,0,0
ENSG00000110514,32,27,33,36
ENSG00000086015,26,21,7,54
ENSG00000211769,0,0,0,0
ENSG00000211768,0,0,0,0
ENSG00000250337,0,3,0,0
ENSG00000255071,10,0,12,3
ENSG00000211767,0,0,1,0
ENSG00000211766,0,0,0,0
ENSG00000211765,0,0,0,0
ENSG00000211764,0,0,0,0
ENSG00000201510,0,0,0,0
ENSG00000169740,26,62,49,55
ENSG00000215869,1,0,0,0
ENSG00000261609,11,5,5,9
ENSG00000169744,101,66,0,5
ENSG00000261607,0,0,0,0
ENSG00000261606,0,0,0,0
ENSG00000215866,0,0,0,0
ENSG00000261604,0,3,3,3
ENSG00000261603,0,0,0,0
ENSG00000261602,0,0,0,0
ENSG00000261600,0,0,0,0
ENSG00000251074,0,0,0,0
ENSG00000168298,0,0,0,0
ENSG00000255070,0,0,0,0
ENSG00000168297,13,15,26,29
ENSG00000266460,0,0,0,0
ENSG00000266461,0,0,0,0
ENSG00000266466,0,0,0,0
ENSG00000233578,0,0,0,0
ENSG00000168291,62,55,80,120
ENSG00000262558,0,0,0,0
ENSG00000270591,0,0,0,0
ENSG00000262554,3,3,0,0
ENSG00000254141,0,0,0,0
ENSG00000225108,0,1,0,0
ENSG00000225100,0,0,0,0
ENSG00000225101,0,0,3,0
ENSG00000225102,0,0,0,0
ENSG00000225105,0,0,0,0
ENSG00000225106,0,3,1,0
ENSG00000225107,0,0,0,2
ENSG00000226457,0,0,0,0
ENSG00000226455,0,0,0,0
ENSG00000226454,0,0,0,0
ENSG00000149792,44,25,31,54
ENSG00000226450,0,0,0,0
ENSG00000141854,0,6,5,5
ENSG00000149798,0,0,0,0
ENSG00000238419,0,0,0,0
ENSG00000283571,0,0,0,0
ENSG00000212153,0,0,0,0
ENSG00000183055,0,0,0,0
ENSG00000183054,19,7,4,21
ENSG00000283575,0,0,0,0
ENSG00000283576,0,0,0,0
ENSG00000283579,0,0,0,0
ENSG00000283578,0,0,0,0
ENSG00000181562,0,0,0,0
ENSG00000250566,0,0,0,0
ENSG00000259244,2,0,0,0
ENSG00000250564,0,0,0,0
ENSG00000250565,4,0,0,10
ENSG00000250562,0,0,0,0
ENSG00000250563,0,0,0,0
ENSG00000187961,6,0,8,15
ENSG00000250561,0,0,0,0
ENSG00000250568,0,0,0,0
ENSG00000250569,0,0,0,0
ENSG00000281591,0,0,0,0
ENSG00000162840,0,0,0,0
ENSG00000162843,0,0,0,0
ENSG00000168484,0,6,0,12
ENSG00000162849,0,0,5,4
ENSG00000283689,0,0,0,3
ENSG00000149243,5,3,25,0
ENSG00000184702,3,18,0,2
ENSG00000259242,0,0,0,0
ENSG00000283683,0,0,0,0
ENSG00000283682,0,0,0,0
ENSG00000283680,0,0,0,0
ENSG00000283686,0,0,0,0
ENSG00000184708,16,14,9,13
ENSG00000184709,0,0,0,0
ENSG00000206811,0,0,1,0
ENSG00000163462,5,0,31,14
ENSG00000163463,31,83,132,57
ENSG00000163464,3,7,0,0
ENSG00000163466,231,264,253,413
ENSG00000163467,0,0,0,0
ENSG00000163468,73,133,217,206
ENSG00000206813,0,0,0,0
ENSG00000162599,103,70,29,57
ENSG00000162598,0,0,0,0
ENSG00000267731,0,0,0,0
ENSG00000272386,0,0,0,0
ENSG00000162591,14,33,126,227
ENSG00000267732,0,0,0,0
ENSG00000267735,0,0,0,0
ENSG00000029363,64,43,33,43
ENSG00000267737,0,0,0,0
ENSG00000162594,0,0,0,0
ENSG00000263609,0,0,0,0
ENSG00000263608,0,0,0,0
ENSG00000206817,0,0,0,0
ENSG00000118640,20,47,183,69
ENSG00000263600,0,0,0,0
ENSG00000263603,0,0,2,0
ENSG00000263602,0,0,0,0
ENSG00000263604,0,0,0,0
ENSG00000159961,0,0,0,0
ENSG00000259169,1,2,2,2
ENSG00000253144,0,0,0,0
ENSG00000253147,0,0,0,0
ENSG00000201466,0,0,0,0
ENSG00000253141,0,0,0,0
ENSG00000115073,50,55,36,58
ENSG00000253143,0,0,0,0
ENSG00000253142,0,0,0,0
ENSG00000259161,0,0,0,0
ENSG00000259160,0,0,0,0
ENSG00000259163,0,0,0,0
ENSG00000259162,0,0,0,0
ENSG00000259165,0,0,0,0
ENSG00000253148,0,0,0,0
ENSG00000259167,0,0,0,0
ENSG00000259166,0,0,0,0
ENSG00000213853,80,78,17,33
ENSG00000213851,0,0,0,0
ENSG00000258590,0,0,0,0
ENSG00000213857,0,0,0,0
ENSG00000213856,0,0,0,0
ENSG00000213854,0,0,0,0
ENSG00000213859,15,30,11,23
ENSG00000225816,0,0,0,0
ENSG00000280881,0,0,0,0
ENSG00000225814,0,0,0,0
ENSG00000225815,0,0,0,0
ENSG00000225813,0,0,0,0
ENSG00000225811,0,0,0,0
ENSG00000206846,0,0,0,0
ENSG00000225818,0,0,0,0
ENSG00000225819,0,0,0,0
ENSG00000229306,0,0,0,0
ENSG00000229307,0,0,0,0
ENSG00000229305,0,0,0,0
ENSG00000229302,0,0,0,0
ENSG00000229303,0,0,0,0
ENSG00000238489,0,0,0,0
ENSG00000229301,0,0,0,0
ENSG00000238485,0,0,0,0
ENSG00000269911,2,0,3,0
ENSG00000238482,0,0,0,0
ENSG00000229308,0,0,0,0
ENSG00000229309,0,0,0,0
ENSG00000278072,0,0,0,0
ENSG00000278073,0,0,0,0
ENSG00000278071,0,0,0,3
ENSG00000240174,0,0,0,0
ENSG00000278077,0,0,0,0
ENSG00000278075,0,0,0,0
ENSG00000055070,65,93,116,133
ENSG00000278078,0,0,0,0
ENSG00000227411,0,0,0,0
ENSG00000155719,0,3,0,0
ENSG00000227413,0,0,0,0
ENSG00000227416,0,0,0,0
ENSG00000227417,0,0,0,0
ENSG00000162337,130,88,25,2
ENSG00000155714,0,0,0,0
ENSG00000182010,0,0,0,0
ENSG00000182013,8,0,24,35
ENSG00000244748,0,0,0,0
ENSG00000186704,0,0,0,0
ENSG00000251779,0,0,0,0
ENSG00000251774,0,0,0,0
ENSG00000251595,5,3,0,3
ENSG00000251776,0,0,0,0
ENSG00000274978,0,1,0,0
ENSG00000251770,0,0,0,0
ENSG00000245293,3,0,0,0
ENSG00000251773,0,0,0,0
ENSG00000164659,49,17,7,6
ENSG00000242748,0,0,0,0
ENSG00000242747,0,3,0,0
ENSG00000164651,0,0,0,0
ENSG00000242741,0,0,0,0
ENSG00000164654,18,26,25,24
ENSG00000114978,80,75,53,136
ENSG00000252236,0,0,0,0
ENSG00000252237,0,0,0,0
ENSG00000252230,0,0,0,0
ENSG00000252231,0,0,0,0
ENSG00000252233,0,0,0,0
ENSG00000252238,0,0,0,0
ENSG00000256925,0,0,0,0
ENSG00000161021,12,11,3,9
ENSG00000256922,0,0,0,0
ENSG00000256923,0,0,0,0
ENSG00000226331,0,0,0,0
ENSG00000261608,0,0,0,0
ENSG00000256928,0,0,0,0
ENSG00000254694,0,0,0,0
ENSG00000254695,0,0,0,0
ENSG00000254697,0,0,0,0
ENSG00000254690,0,0,0,0
ENSG00000254691,0,0,0,0
ENSG00000266929,0,0,0,0
ENSG00000266928,0,0,0,0
ENSG00000266925,0,0,0,0
ENSG00000266924,0,0,0,0
ENSG00000254698,0,0,0,0
ENSG00000254699,0,0,0,0
ENSG00000266921,3,0,3,2
ENSG00000266920,0,0,0,0
ENSG00000257343,0,0,0,0
